Mot|Phrase|Catégorie|Traduction en français
abandon|He decided to abandon the project.|Verbe|abandonner
ability|She has a remarkable ability to sing.|Nom féminin|capacité
able|She is able to solve complex problems.|Adjectif|capable
abortion|The debate about abortion is ongoing.|Nom masculin|avortement
about|Let's talk about your plans.|Préposition|à propos de
above|The painting is above the fireplace.|Préposition|au-dessus de
abroad|She traveled abroad for a year.|Adverbe|à l'étranger
absence|His absence was noticed by everyone.|Nom féminin|absence
absolute|The truth is not always absolute.|Adjectif|absolu
absolutely|I absolutely love this movie.|Adverbe|absolument
absorb|Sponge can absorb water quickly.|Verbe|absorber
abuse|Domestic abuse is a serious problem.|Nom masculin|abus
academic|She is an academic scholar.|Adjectif|académique
accept|He will accept the job offer.|Verbe|accepter
access|You need a password to access the site.|Nom masculin|accès
accident|The car accident was quite severe.|Nom masculin|accident
accompany|I'll accompany you to the party.|Verbe|accompagner
accomplish|She managed to accomplish her goals.|Verbe|accomplir
according|According to the weather forecast...|Préposition|selon
account|Please check your bank account balance.|Nom masculin|compte
accurate|Her estimate of the time was accurate.|Adjectif|précis
accuse|He will accuse her of stealing his wallet.|Verbe|accuser
achieve|She worked hard to achieve her goals.|Verbe|réaliser
achievement|Winning the race was a great achievement.|Nom masculin|réalisation
acid|Lemon juice is acidic in nature.|Nom masculin|acide
acknowledge|She didn't acknowledge my presence.|Verbe|reconnaître
acquire|He wanted to acquire new skills.|Verbe|acquérir
across|We walked across the bridge to the other side.|Préposition|à travers
act|His act of kindness was heartwarming.|Nom masculin|acte
action|We need to take action to address this issue.|Nom féminin|action
active|Regular exercise keeps you active and healthy.|Adjectif|actif
activist|She is a passionate environmental activist.|Nom masculin|militant
activity|Outdoor activities are good for physical health.|Nom féminin|activité
actor|He's a talented actor in the movie industry.|Nom masculin|acteur
actress|She won an award for her role as an actress.|Nom féminin|actrice
actual|The actual price was higher than expected.|Adjectif|réel
actually|I thought he left, but he's still here, actually.|Adverbe|en réalité
ad|I saw an interesting ad in the newspaper.|Nom masculin|annonce
adapt|Plants can adapt to different climates.|Verbe|s'adapter
add|Please add some sugar to the tea.|Verbe|ajouter
addition|The addition of new features improved the product.|Nom féminin|addition
additional|There are additional costs for extra services.|Adjectif|supplémentaire
address|What's your address? I need to send you a letter.|Nom masculin|adresse
adequate|Her performance was adequate but not outstanding.|Adjectif|adéquat
adjust|You can adjust the volume on the TV remote.|Verbe|ajuster
adjustment|The adjustment of the settings was necessary.|Nom masculin|ajustement
administration|The current administration faces many challenges.|Nom féminin|administration
administrator|He's the system administrator for the company.|Nom masculin|administrateur
admire|I admire her for her dedication to charity work.|Verbe|admireradmission|Her admission to the university was a big moment.|Nom féminin|admission
admit|He had to admit that he was wrong.|Verbe|admettre
adolescent|Teenagers go through the adolescent stage.|Adjectif|adolescent
adopt|They decided to adopt a rescue dog.|Verbe|adopter
adult|He is an adult, responsible for his actions.|Nom masculin|adulte
advance|She made an advance payment for the service.|Nom masculin|avance
advanced|This course is for advanced learners.|Adjectif|avancé
advantage|Having good communication skills is an advantage.|Nom masculin|avantage
adventure|Traveling to a new country is an exciting adventure.|Nom masculin|aventure
advertising|The advertising campaign boosted sales.|Nom masculin|publicité
advice|I need some advice on how to invest money.|Nom masculin|conseil
advise|I would advise you to study for the exam.|Verbe|conseiller
adviser|She sought the guidance of her adviser.|Nom masculin|conseiller
advocate|She's a strong advocate for animal rights.|Nom masculin|défenseur
affair|Their romantic affair caused a scandal.|Nom féminin|affaire
affect|Stress can negatively affect your health.|Verbe|affecter
afford|Can you afford to buy a new car?|Verbe|se permettre
afraid|He's afraid of spiders.|Adjectif|effrayé
African|She is of African descent.|Adjectif|africain
African-American|He identifies as African-American.|Adjectif|afro-américain
after|Dinner will be served after the meeting.|Préposition|après
afternoon|I'll see you in the afternoon.|Nom masculin|après-midi
again|Let's try this again.|Adverbe|encore
against|She's running against him in the election.|Préposition|contre
age|Age is just a number.|Nom masculin|âge
agency|The government agency handles immigration.|Nom féminin|agence
agenda|We need to set the agenda for the meeting.|Nom féminin|ordre du jour
agent|The secret agent completed the mission.|Nom masculin|agent
aggressive|His aggressive behavior is causing problems.|Adjectif|agressif
ago|They met a year ago.|Adverbe|il y a
agree|I agree with your point of view.|Verbe|être d'accord
agreement|They reached an agreement on the contract.|Nom masculin|accord
agricultural|The region's economy relies on agricultural production.|Adjectif|agricole
ah|Ah, I finally found my keys!|Interjection|ah
ahead|We have a long journey ahead of us.|Adverbe|devant
aid|They sent humanitarian aid to the disaster-stricken area.|Nom masculin|aide
aide|She works as a teacher's aide.|Nom féminin|assistante
AIDS|Awareness about AIDS is crucial for public health.|Nom masculin|SIDA
aim|Her aim is to become a successful entrepreneur.|Nom masculin|objectif
air|Fresh air is good for your health.|Nom masculin|air
aircraft|The airport had several aircraft on the runway.|Nom masculin|avion
airline|She works for a major airline company.|Nom féminin|compagnie aérienne
airport|We'll meet at the airport tomorrow.|Nom masculin|aéroport
album|Their new album is getting great reviews.|Nom masculin|album
alcohol|Drinking alcohol in moderation is advised.|Nom masculin|alcool
alive|He survived the accident and is alive.|Adjectif|en vie
all|All the students passed the exam.|Déterminant|tout
alliance|The two companies formed a strategic alliance.|Nom féminin|alliance
allow|Please allow me to explain.|Verbe|permettre
ally|The two nations are strong allies.|Nom masculin|alliéalmost
alone|She preferred to be alone in her room.|Adjectif|seul
along|We walked along the riverbank.|Préposition|le long de
already|I've already finished my homework.|Adverbe|déjà
also|She is a talented musician. She also writes songs.|Adverbe|aussi
alter|They decided to alter the design of the building.|Verbe|modifier
alternative|There are alternative routes to the destination.|Nom féminin|alternative
although|Although it rained, we had a great time.|Conjonction|bien que
always|He always arrives early for work.|Adverbe|toujours
AM|The meeting is scheduled for 10 AM.|Abréviation|matin (anté meridiem)
amazing|The view from the mountaintop was amazing.|Adjectif|incroyable
American|He is proud to be an American citizen.|Adjectif|américain
